Frase,Polaridad,Subjetividad,Negativo,Neutro,Positivo,Compuesto
3465171 infect coronavirus mexico 265420 death 15876 infect 1879 death today ,0.0,0.0,0.536,0.464,0.0,-0.8316
melissa joan hart televis seri sabrina teenag witch is angri becaus present resu ,0.0,0.0,0.828,0.172,0.0,-0.3612
maximus644 i ask prayer niec covid tube heart began fail 27 year old i touch ,-0.2,0.24999999999999997,0.774,0.226,0.0,-0.5423
you abl celebr birthday 10 relat abl celebr coven do imp ,0.0,0.0,1.0,0.0,0.0,0.0
discov antibodi neutral variant covid19 ,0.0,0.0,1.0,0.0,0.0,0.0
vtvcanal8 balancecovid on day 541 fight covid19 venezuela regist 834 new infect transmiss ,0.13636363636363635,0.45454545454545453,0.822,0.178,0.0,-0.3818
sister warmth put heron middl throat matter ,0.0,0.0,0.435,0.0,0.565,0.4939
today nytim hundr parent mexico request court order vaccin child covid19 ,0.0,0.0,1.0,0.0,0.0,0.0
after ugli experi covid bruce dickinson ironmaiden said yahoo music if i receiv ,0.0,0.0,1.0,0.0,0.0,0.0
hey would good idea hospit secretariat ,0.7,0.6000000000000001,0.633,0.0,0.367,0.4404
minsalud said goal 41 million colombian vaccin end septemb expans and ,0.0,0.0,1.0,0.0,0.0,0.0
video seleccionargentina the detail posit case covid19 occur concentr argentin team ,0.0,0.0,1.0,0.0,0.0,0.0
better see millionair babi maximo laugh ask minut himself ,0.4,0.3,0.519,0.0,0.481,0.7579
the summer 2021 end total rais 175b u disney product compani achiev ,0.0,0.75,1.0,0.0,0.0,0.0
coronavirus report valparaiso region correspond wednesday septemb 8 ,0.0,0.0,1.0,0.0,0.0,0.0
linda g must warn covid test gimmick it not ,0.0,0.0,0.833,0.167,0.0,-0.1027
data cut progress covid ãƒ¼ 19 mexico base report state ssa 09082021 1 ,-0.8,1.0,0.647,0.151,0.201,0.1779
sever employe sitionuevo hospit die due covid19 never decenc ,-0.125,0.375,0.672,0.328,0.0,-0.5994
miguelpaso1 with reason home wait vaccin arriv littl one grandchild ant ,0.0,0.0,1.0,0.0,0.0,0.0
640 healthi adult 50 70 year age previous infect c ,-0.033333333333333326,0.23333333333333334,1.0,0.0,0.0,0.0
mexico bought 250 million dos anticovid vaccin boast tweet april 16 s ,0.0,0.0,1.0,0.0,0.0,0.0
mexico countri death covid world health personnel govern not vaccin ,0.0,0.0,0.698,0.302,0.0,-0.5994
how gatel remain charg pandem first place world death covid onli mexico ,0.25,0.3333333333333333,0.738,0.262,0.0,-0.5994
maximus644 i ask prayer niec covid tube heart began fail 27 year old i touch ,-0.2,0.24999999999999997,0.774,0.226,0.0,-0.5423
did wait 3 month covid put on the thing happen me i wait ,0.0,0.0,1.0,0.0,0.0,0.0
fals report want repeal entir protect system group constant danger escala ,0.0,0.3333333333333333,0.523,0.222,0.255,-0.128
a chines studi discard theori escap covid19 laboratori it origin bat tc ,0.0,0.0,0.833,0.167,0.0,-0.25
in italia 700 autopsi perform peopl die covid reveal none die due to ,-0.125,0.375,0.585,0.415,0.0,-0.8316
maximo kirchner laugh ask minut silenc almost 113000 death covid we alreadi know ,0.3,0.1,0.604,0.199,0.198,-0.0056
born bad we go urn take garbag ,-0.6999999999999998,0.6666666666666666,0.632,0.368,0.0,-0.5423
oh nice read what pride health worker ,0.6,1.0,0.49,0.0,0.51,0.6369
mexico yesterday countri death covid world it fuck disast must ,-0.4,0.6,0.519,0.481,0.0,-0.8126
the outstand work almashanandra3 oaxacan lawyer fight govern h ,0.0,0.0,0.729,0.271,0.0,-0.3818
i ask decre nomin candi 100000 sovereign peo lit foreign own bread ,0.2375,0.5625,1.0,0.0,0.0,0.0
realcarola2hop thenightwing01 everi day evid damag vaccin caus alreadi mani ,0.0,0.0,1.0,0.0,0.0,0.0
more than 15 bonaeren hospit no longer have icu admiss of covid patient ,0.5,0.5,0.845,0.155,0.0,-0.296
ğ“ğğŒğ€ ğğ‘ğ„ğ‚ğ€ğ”ğ‚ğˆğğ more awar it import go healthcar center feel rela ,0.2,0.3,1.0,0.0,0.0,0.0
the new strain covid patient rich field do let protect when suppli ,0.2556818181818182,0.6022727272727273,0.549,0.073,0.378,0.7184
covid19 63 posit case 1 person die last 24 hour ,0.0,0.06666666666666667,0.672,0.328,0.0,-0.5994
nene i sale of cover mouth kn 95 threelay adult child kf 94 nano machin spray gun sanit ,0.1,0.3,0.87,0.13,0.0,-0.34
andreucomas14 for variant predomin popul escap immun system factor relat to ,0.0,0.0,1.0,0.0,0.0,0.0
mani scientist think covid19 becom endem diseas erad like smallpox ,0.0,0.0,0.783,0.0,0.217,0.3612
m2porcelanato covid19 uruguay approv third dose peopl 60 vaccin pfizer astrazeneca infoba ,0.0,0.0,1.0,0.0,0.0,0.0
jacobisraelmor3 imagin sixyear term end find walk street father one child ,0.0,0.0,1.0,0.0,0.0,0.0
scientist reveal long immun covid19 last vaccin ,-0.025,0.23333333333333334,1.0,0.0,0.0,0.0
maduro guaido covid hard year without doubt we deserv it 8septemb ,-0.2916666666666667,0.5416666666666666,0.719,0.112,0.169,0.1803
vaccin continu municip hospit carip covid cubaporlavida ,0.0,0.0,1.0,0.0,0.0,0.0
watch dr arevalo tweet she absolut right ,0.2857142857142857,0.5357142857142857,1.0,0.0,0.0,0.0
mikeluca7 maximo kirchner laugh ask minut silenc victim covid not corrupt useless ,-0.0062500000000000056,0.33749999999999997,0.528,0.123,0.348,0.5903
coronavirus mision 42 new case ,0.13636363636363635,0.45454545454545453,1.0,0.0,0.0,0.0
most latin american countri alreadi report case death covid19 among pregnant woman ,0.27777777777777773,0.3333333333333333,0.738,0.262,0.0,-0.5994
you would also ask fune mori covid ,0.0,0.0,1.0,0.0,0.0,0.0
health who reiter opposit booster dos coronavirus el comercio peru ,0.0,0.0,1.0,0.0,0.0,0.0
fals report want repeal entir protect system group constant danger escala ,0.0,0.3333333333333333,0.523,0.222,0.255,-0.128
brief histori i covid i vaccin minim symptom i fulfil isol today i return offic easi ,0.0,0.3333333333333333,1.0,0.0,0.0,0.0
lopez get shoe wet jump crack alreadi first place medal number 1 death covid ,0.075,0.3666666666666667,0.546,0.213,0.24,-0.128
i much want ask help today gerson told posit covid perhap mani interest ,0.2,0.2,0.562,0.0,0.438,0.7184
how symptom covid lose tast men ,0.0,0.0,0.649,0.351,0.0,-0.4019
maximo kirchner act ask laugh minut silenc relat dead peopl ,0.04999999999999999,0.25,0.503,0.27,0.226,-0.1779
oh no earth flat hahahaha paranoid would tell conspiraci look ,0.08750000000000001,0.3125,0.656,0.344,0.0,-0.4939
1879 death covid today mexico ,0.0,0.0,0.506,0.494,0.0,-0.5994
former presid question govern vaccin covid19 thousand thousand servant nation ,0.0,0.0,1.0,0.0,0.0,0.0
who warn countri plateau covid19 infect vaccinateya ,0.0,0.0,0.811,0.189,0.0,-0.1027
govern brujo editori jonatan vial joni compar number death covid tra ,0.0,0.0,0.634,0.275,0.092,-0.5574
here survivor covid cancer guerrilla briberi lie ,0.0,0.0,0.42,0.37,0.21,-0.4404
in 24 hour mexico document 879 death 15876 new infect ,0.13636363636363635,0.45454545454545453,0.698,0.302,0.0,-0.5994
mexico report 97 thousand 611 activ case covid19 ,0.0,0.0,1.0,0.0,0.0,0.0
kissing plandemia replac role univers gendarm u communist china ,0.0,0.0,0.654,0.0,0.346,0.5719
if case news i deduc die covid appear press vaccin ,0.0,0.0,0.672,0.328,0.0,-0.5994
i want alarmist today 1971 covid dead where descent boast ,-0.2,0.4,0.556,0.341,0.103,-0.6124
the week covid infect increas ,0.0,0.0,1.0,0.0,0.0,0.0
parejo96779342 now go turn peopl die diseas exist throughout life ,0.0,0.0,0.698,0.302,0.0,-0.5994
branemark1 big news sweden announc will be remov almost remain covid restrict includ l ,0.0,0.1,0.837,0.163,0.0,-0.3262
aleira18 clasessinmaestro becaus unprotect we salari cover basic need what ,0.0,0.125,1.0,0.0,0.0,0.0
this wednesday report 17 death 296 new covid infect yucatan ,0.13636363636363635,0.45454545454545453,0.698,0.302,0.0,-0.5994
former presid question govern vaccin covid19 thousand thousand servant nation ,0.0,0.0,1.0,0.0,0.0,0.0
ana rosenfeld anguish health husband hospit covid it depend god ,0.0,0.0,0.571,0.279,0.15,-0.4215
maximo kirchner laugh ask minut silenc almost 113000 death covid we alreadi know ,0.3,0.1,0.604,0.199,0.198,-0.0056
the system corrupt who financ psychopath gate togeth dr fauci scapegoat ,-0.5,1.0,0.787,0.213,0.0,-0.4019
the famous hilari duff reveal august 20 instagram covid duff said ach ,0.5,1.0,1.0,0.0,0.0,0.0
mexico countri death covid world health personnel govern not vaccin ,0.0,0.0,0.698,0.302,0.0,-0.5994
former presid question govern vaccin covid19 thousand thousand servant nation ,0.0,0.0,1.0,0.0,0.0,0.0
ok relat older man la guaira covid requir help locat bomb ,0.3333333333333333,0.41666666666666663,0.497,0.199,0.304,0.1779
we alreadi pass usa we go g7 if continu collabor togeth way reactiv comp ,0.0,0.0,1.0,0.0,0.0,0.0
to regist rate new current case necessari go back last januari and oc level ,0.03409090909090909,0.2303030303030303,1.0,0.0,0.0,0.0
noooo turn covid i want ,0.0,0.0,0.698,0.0,0.302,0.0772
uruguay uruguay report anoth day without death covid19 179 new case 10326 test perform 14 pe ,0.13636363636363635,0.45454545454545453,0.827,0.0,0.173,0.4847
monasteri take advantag confess young man malasaÃ±a ask repeal law lgtbiphobia communiti ,0.1,0.4,1.0,0.0,0.0,0.0
donat vaccin covid19 exceed purchas made govern here detail ,0.0,0.0,1.0,0.0,0.0,0.0
in 24 hour mexico document 879 death 15876 new infect ,0.13636363636363635,0.45454545454545453,0.698,0.302,0.0,-0.5994
three unit state senat john hickenloop dcolo angus king imain roger wicker rmiss announc ,0.0,0.0,1.0,0.0,0.0,0.0
covid19 arroyo seco appli 30000 vaccin the municip arroyo seco through ,0.0,0.0,1.0,0.0,0.0,0.0
it would best news ,1.0,0.3,0.417,0.0,0.583,0.6369
andreucomas14 for variant predomin popul escap immun system factor relat to ,0.0,0.0,1.0,0.0,0.0,0.0
canal26noticia six new case delta variant coronavirus cordoba 116 total tc ,0.06818181818181818,0.6022727272727273,1.0,0.0,0.0,0.0
reasontolive666 when go vote rememb told u vaccin plane arriv today thank v ,0.0,0.0,0.8,0.0,0.2,0.3612
anvisa author emerg use monoclon antibodi covid19 via ,0.0,0.0,1.0,0.0,0.0,0.0
gold medal for mexico today countri death covid in the world gatel say third wave alreadi ,0.0,0.0,0.667,0.186,0.148,-0.2023
250 protect child deserv vaccin doctor nurs order die fight covid child and ,0.0,0.0,0.524,0.34,0.136,-0.5994
my 83yearold grandmoth posit covid19 vaccin astrazeneca complet scheme mild symptom liter one flu d ,0.3333333333333333,0.5,0.833,0.167,0.0,-0.3818
fals report want repeal entir protect system group constant danger escala ,0.0,0.3333333333333333,0.523,0.222,0.255,-0.128
vtvcanal8 reportevtv vice presid venezuela evalu videoconfer governor protector ,0.0,0.0,1.0,0.0,0.0,0.0
redicapital2 within framework fight covid19 mg particip videoconfer chair vpdta dro ,0.0,0.0,0.794,0.206,0.0,-0.3818
maximo kirchner laugh ask minut silenc almost 113000 death covid we alreadi know ,0.3,0.1,0.604,0.199,0.198,-0.0056
can someon explain laugh at is serious can son mother tell what wrong ,-0.17777777777777778,0.5555555555555555,0.556,0.244,0.2,0.0516
edwingroman14 you continu ignor suffer peopl dictatorship promot massiv contagion when understand ,0.0,0.0,0.606,0.394,0.0,-0.7579
this monday begin vaccin child 11 year age comorbid stop covid19 ,0.0,0.0,0.82,0.18,0.0,-0.296
from mpelf ask sanitari respons respect distanc hygien protocol although rare ,0.3,0.9,0.763,0.0,0.237,0.4767
they tell u vaccin prevent infect reduc sever and therefor lethal covi ,0.0,0.0,0.901,0.0,0.099,0.0258
yes unfortun year previous one thing complic covid ,-0.16666666666666666,0.16666666666666666,0.722,0.0,0.278,0.4019
mexico mexico report 15876 new case 879 death covid19 last 24 hour ,0.06818181818181818,0.2606060606060606,0.738,0.262,0.0,-0.5994
luiscarrillo66 who ask extend moratorium booster dos covid19 vaccinatenow ,0.0,0.0,0.825,0.0,0.175,0.1779
in 24 hour mexico document 879 death 15876 new infect ,0.13636363636363635,0.45454545454545453,0.698,0.302,0.0,-0.5994
ğ„ğ’ ğ‚ğğğ“ğˆğ†ğ peopl 50 59 year old 6sep attend vaccin center ,0.0,0.15000000000000002,1.0,0.0,0.0,0.0
228 thousand pfizer vaccin covid arriv mexico ,0.0,0.0,1.0,0.0,0.0,0.0
in nicaragua 3 100 peopl receiv full dose vaccin covid19 read ,0.35,0.55,1.0,0.0,0.0,0.0
have chang menstrual cycl get vaccin ,0.0,0.0,1.0,0.0,0.0,0.0
the gob month ago go issu law avoid crowd anoth urgenc resourc the ,0.0,0.0,0.845,0.155,0.0,-0.296
onli mediocr ignor public offici think say need vaccin countri ,0.0,0.06666666666666667,1.0,0.0,0.0,0.0
either sanchez revok health emerg he also go eat bass ,-0.15000000000000002,0.5,1.0,0.0,0.0,0.0
today wednesday said receiv russia second remedi coronavirus communistdast ,0.0,0.0,1.0,0.0,0.0,0.0
new cultur council the cultur council a preponder actor way capit govern ,0.13636363636363635,0.45454545454545453,1.0,0.0,0.0,0.0
a glut covid vaccin loom rich world poor countri lost internaci ,-0.012500000000000011,0.675,0.355,0.432,0.213,-0.4019
yes press attend administr face crisi aros 1 russian plot ,0.0,0.0,0.748,0.0,0.252,0.4019
fals report want repeal entir protect system group constant danger escala ,0.0,0.3333333333333333,0.523,0.222,0.255,-0.128
fals report want repeal entir protect system group constant danger escala ,0.0,0.3333333333333333,0.523,0.222,0.255,-0.128
peronist alway surpass is anyth wors herminio drawer if turnip maximum laugh dead ,0.04999999999999999,0.25,0.582,0.228,0.19,-0.1779
spain touch medium risk covid19 ad 5618 new infect 81 death ,0.13636363636363635,0.45454545454545453,0.6,0.4,0.0,-0.7184
the total accumul confirm case covid19 mexico today wednesday septemb 8 3465171 15876 ,0.0,0.75,1.0,0.0,0.0,0.0
vtvcanal8 venezuela who evalu progress polici covid19 countri vaccinatenow ,0.0,0.0,0.741,0.0,0.259,0.4215
although limit resourc fear esperanza para todo shelter born month ago border ,0.0,0.0,0.775,0.225,0.0,-0.4939
son thousand whore maximokirchn i know give damn least i pretend littl empathi ,-0.3,0.4,0.491,0.43,0.08,-0.772
ronald carreÃ±o transfer urgent clinic hypertens covid19 ,0.0,0.0,0.769,0.0,0.231,0.2023
know let take care ourselv prevent vital cne rector enriqu marquez test posit covid19 ,0.1,0.4,0.629,0.0,0.371,0.6705
3000 canadian nurs threaten resign lie told offic hospit full vac ,0.35,0.55,0.643,0.357,0.0,-0.6124
in 24 hour mexico document 879 death 15876 new infect ,0.13636363636363635,0.45454545454545453,0.698,0.302,0.0,-0.5994
covid19 from monday septemb 13 vaccin adolesc age 14 resum also begin ,0.0,0.0,1.0,0.0,0.0,0.0
mexico last 24 hour 2nd countri world death covid 879 usa regist ,0.0,0.03333333333333333,0.738,0.262,0.0,-0.5994
find the bolivarian govern tripl vaccin effort protect venezuelan peopl covid ,0.0,0.0,0.794,0.0,0.206,0.3818
covid xfavor alreadi finish i want live normal life ,0.1431818181818182,0.575,0.843,0.0,0.157,0.0772
